GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-coverage/rms-application,io.extact.rms.application.service,UserAccountService,0,44,0,2,0,11,0,6,0,5
rms-coverage/rms-application,io.extact.rms.application.service,ReservationService,0,127,0,10,0,29,0,16,0,11
rms-coverage/rms-application,io.extact.rms.application.service,GenericService,0,45,0,4,0,11,0,6,0,4
rms-coverage/rms-application,io.extact.rms.application.persistence.file,IoSystemException,9,0,0,0,4,0,2,0,2,0
rms-coverage/rms-application,io.extact.rms.application.persistence.file,ReservationFileRepository,0,157,0,8,0,27,0,17,0,13
rms-coverage/rms-application,io.extact.rms.application.persistence.file,FileRepositoryInitializeProducers,6,89,1,2,1,18,1,7,0,6
rms-coverage/rms-application,io.extact.rms.application.persistence.file,AbstractFileRepository,18,205,0,8,6,50,0,22,0,18
rms-coverage/rms-application,io.extact.rms.application.persistence.file,RentalItemFileRepository,0,29,0,0,0,7,0,3,0,3
rms-coverage/rms-application,io.extact.rms.application.persistence.file,UserAccountFileRepository,0,62,0,0,0,13,0,6,0,6
rms-coverage/rms-application,io.extact.rms.application.domain.constraint,BeforeAfterDateTime.BeforeAfterDateTimeValidator,0,17,0,4,0,4,0,4,0,2
rms-coverage/rms-application,io.extact.rms.application,RentalReservationApplicationImpl,19,336,2,16,5,79,2,34,1,26
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,RentalItemJpaRepository,0,24,0,0,0,9,0,4,0,4
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,JpaCrudRepository,0,62,0,4,0,15,0,7,0,5
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,UserAccountJpaRepository,0,43,0,0,0,16,0,5,0,5
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,ReservationJpaRepository,0,107,0,0,0,26,0,11,0,11
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,UserClaimsFactoryProducers,0,7,0,0,0,2,0,2,0,2
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,UserDtoClaimsFactory,0,12,0,0,0,3,0,3,0,3
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,LoginUserRequestFilter,0,34,0,2,0,12,0,5,0,4
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,UserClaimsAdaptor,0,21,0,0,0,6,0,4,0,4
rms-coverage/rms-server,io.extact.rms.external.webapi,ManagementResource,47,0,2,0,16,0,5,0,4,0
rms-coverage/rms-server,io.extact.rms.external.webapi,WebApiMain,38,0,0,0,18,0,4,0,4,0
rms-coverage/rms-server,io.extact.rms.external.webapi,ApplicationConfig,0,18,0,0,0,4,0,3,0,3
rms-coverage/rms-server,io.extact.rms.external.webapi,RentalReservationResource,7,202,0,0,1,58,1,23,1,23
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers.BusinessFlowExceptionMapper,8,42,1,3,1,15,1,4,0,2
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers.RmsSystemExceptionMapper,24,3,0,0,7,1,1,1,1,1
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,GenericErrorInfo,0,26,0,0,0,12,0,6,0,6
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers.ConstraintExceptionMapper,0,48,0,0,0,13,0,3,0,3
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers,3,4,0,0,1,1,1,1,1,1
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ValidationErrorInfo,0,18,0,0,0,6,0,4,0,4
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ValidationErrorInfo.ValidationErrorItem,0,26,0,0,0,5,0,6,0,6
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMapperFeature,0,25,0,0,0,7,0,2,0,2
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,AddRentalItemDto,0,23,0,0,0,5,0,6,0,6
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,UserAccountResourceDto,2,111,1,1,1,23,1,18,0,18
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,RentalItemResourceDto,2,56,1,1,1,13,1,10,0,10
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,LoginDto,0,32,0,0,0,5,0,7,0,7
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,ReservationResourceDto,12,137,5,5,3,28,5,20,0,20
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,AddReservationDto,0,50,0,0,0,8,0,12,0,12
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,AddUserAccountDto,0,59,0,0,0,9,0,14,0,14
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,MemberMainScreen,20,0,0,0,5,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,ReserveRentalItemScreen,130,0,4,0,40,0,6,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,MemberMainScreen.MemberMenuList,81,0,0,0,8,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,CancelReservationScreen,92,0,6,0,33,0,7,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,InquiryReservationScreen,110,0,4,0,33,0,7,0,5,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,LocalDateTimeInputReader,61,0,2,0,16,0,7,0,6,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,RmsStringInputReader.PatternMessage,46,0,0,0,9,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,RmsStringInputReader,155,0,28,0,33,0,27,0,13,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,TextIoUtils,151,0,6,0,39,0,25,0,22,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,LocalDateInputReader,25,0,0,0,7,0,3,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,RmsIntInputReader,46,0,2,0,11,0,7,0,6,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console,ConsoleMain,96,0,0,0,35,0,5,0,5,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,EntryRentalItemScreen,83,0,4,0,28,0,5,0,3,0
